case_id,event_id,event_date,title,source,official_url,window,friction_date,daily_sum_rmsd,gap,top_rmsd_chain,top_rmsd_chain_rmsd,top_alignment_chain,top_alignment_score,top_alignment_chain_rmsd,top_alignment_chain_rmsd_rank,top_alignment_currency_overlap,top_alignment_weighted_currency_overlap,dominant_categories,dominant_currencies,interpretation,caution
ustr_2024_09_13_china_section_301_tariffs__7_day,ustr_2024_09_13_china_section_301_tariffs,2024-09-13,USTR Finalizes Action on China Tariffs Following Statutory Four-Year Review,Office of the U.S. Trade Representative,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2024/september/ustr-finalizes-action-china-tariffs-following-statutory-four-year-review,7_day,2024-09-18,0.002466967755,0.000265149109,EUR -> JPY -> SGD -> EUR,0.000142856336,USD -> JPY -> SGD -> USD,1.3717845636,0.000103923073,8,180.0,13200.0,trade_policy; geopolitics; supply_chain; semiconductors; commodities_metals,USD; CNH; JPY; SGD; CHF,"The official event is represented by ANAS as a trade_policy, geopolitics, supply_chain, semiconductors exposure with currency pressure around USD, CNH, JPY, SGD. In the 7_day window, FrictionGraph's largest standalone RMSD chain is EUR -> JPY -> SGD -> EUR, while the strongest event-overlap chain is USD -> JPY -> SGD -> USD. These are different chains, which helps separate broad market stress from event-specific currency-chain alignment.","This case links official-event exposure to nearby FrictionGraph chain behavior. It is an explanatory alignment record, not a causal claim or trading signal."
whitehouse_2025_04_02_reciprocal_tariffs__3_day,whitehouse_2025_04_02_reciprocal_tariffs,2025-04-02,"President Donald J. Trump Declares National Emergency to Increase our Competitive Edge, Protect our Sovereignty, and Strengthen our National and Economic Security",White House,https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge-protect-our-sovereignty-and-strengthen-our-national-and-economic-security/,3_day,2025-04-04,0.002575099961,0.000309297702,JPY -> SGD -> CHF -> JPY,0.000175069668,EUR -> USD -> SGD -> EUR,1.2506214143999999,0.000102509952,10,200.0,12200.0,trade_policy; geopolitics; supply_chain; defense_security; macro_growth,USD; EUR; CNH; CAD; JPY,"The official event is represented by ANAS as a trade_policy, geopolitics, macro_growth, supply_chain exposure with currency pressure around USD, EUR, CNH, CAD. In the 3_day window, FrictionGraph's largest standalone RMSD chain is JPY -> SGD -> CHF -> JPY, while the strongest event-overlap chain is EUR -> USD -> SGD -> EUR. These are different chains, which helps separate broad market stress from event-specific currency-chain alignment.","This case links official-event exposure to nearby FrictionGraph chain behavior. It is an explanatory alignment record, not a causal claim or trading signal."
